1,110,166,52,1
2,52,166,52,1
3,67,166,52,1
4,127,166,52,1
5,166,166,52,1
6,163,166,52,1
7,157,166,52,1
1,155,165,66,1
2,77,165,66,1
3,66,165,66,1
4,135,165,66,1
5,153,165,66,1
6,165,165,66,1
7,157,165,66,1
1,180,180,57,1
2,161,180,57,1
3,95,180,57,1
4,57,180,57,1
5,95,180,57,1
6,160,180,57,1
7,180,180,57,1
1,147,180,55,1
2,55,180,55,1
3,60,180,55,1
4,138,180,55,1
5,180,180,55,1
6,157,180,55,1
7,157,180,55,1
1,163,163,49,2
2,98,163,49,2
3,49,163,49,2
4,95,163,49,2
5,144,163,49,2
6,149,163,49,2
7,157,163,49,2
1,144,180,81,0
2,81,180,81,0
3,93,180,81,0
4,144,180,81,0
5,180,180,81,0
6,163,180,81,0
7,180,180,81,0
1,163,165,50,2
2,116,165,50,2
3,50,165,50,2
4,54,165,50,2
5,64,165,50,2
6,163,165,50,2
7,165,165,50,2
1,138,180,60,1
2,77,180,60,1
3,60,180,60,1
4,130,180,60,1
5,180,180,60,1
6,180,180,60,1
7,180,180,60,1
