1,51,50,111,110,51,50,1,1
2,84,83,111,110,51,50,1,1
3,111,110,111,110,51,50,1,1
4,111,100,111,110,51,50,11,1
5,72,72,111,110,51,50,0,1
6,70,50,111,110,51,50,20,1
1,70,66,116,131,45,41,4,1
2,100,102,116,131,45,41,2,1
3,116,131,116,131,45,41,15,1
4,91,102,116,131,45,41,11,1
5,66,72,116,131,45,41,6,1
6,47,66,116,131,45,41,19,1
7,45,41,116,131,45,41,4,1
1,54,50,116,131,45,50,4,1
2,91,91,116,131,45,50,0,1
3,116,131,116,131,45,50,15,1
4,116,116,116,131,45,50,0,1
5,72,72,116,131,45,50,0,1
6,45,61,116,131,45,50,16,1
7,45,50,116,131,45,50,5,1
1,66,50,121,110,66,50,16,1
2,91,87,121,110,66,50,4,1
3,111,110,121,110,66,50,1,1
4,121,110,121,110,66,50,11,1
5,106,80,121,110,66,50,26,3
6,70,50,121,110,66,50,20,1
1,50,50,120,135,47,41,0,1
2,111,110,120,135,47,41,1,1
3,120,135,120,135,47,41,15,1
4,96,85,120,135,47,41,11,1
5,47,41,120,135,47,41,6,1
6,47,46,120,135,47,41,1,1
7,47,41,120,135,47,41,6,1
1,30,41,91,91,30,30,11,0
2,66,77,91,91,30,30,11,0
3,91,91,91,91,30,30,0,0
4,72,65,91,91,30,30,7,0
5,47,41,91,91,30,30,6,0
6,30,41,91,91,30,30,11,0
7,46,30,91,91,30,30,16,0
1,100,91,173,157,30,41,9,2
2,173,157,173,157,30,41,16,2
3,173,157,173,157,30,41,16,2
4,80,91,173,157,30,41,11,2
5,47,41,173,157,30,41,6,2
6,47,41,173,157,30,41,6,2
7,30,41,173,157,30,41,11,2
1,55,64,106,134,45,38,9,1
2,75,100,106,134,45,38,25,3
3,104,119,106,134,45,38,15,1
4,106,134,106,134,45,38,28,3
5,86,105,106,134,45,38,19,1
6,59,70,106,134,45,38,11,1
7,45,38,106,134,45,38,7,1
1,71,91,110,135,45,41,20,1
2,94,127,110,135,45,41,33,3
3,110,135,110,135,45,41,25,3
4,94,123,110,135,45,41,29,3
5,62,87,110,135,45,41,25,3
6,45,59,110,135,45,41,14,1
7,48,41,110,135,45,41,7,1
1,44,50,94,123,44,33,6,0
2,75,79,94,123,44,33,4,0
3,94,123,94,123,44,33,29,3
4,94,123,94,123,44,33,29,3
5,63,58,94,123,44,33,5,0
6,59,37,94,123,44,33,22,3
7,55,33,94,123,44,33,22,3
1,44,50,123,94,44,33,6,0
2,75,79,123,94,44,33,4,0
3,94,123,123,94,44,33,29,3
4,94,123,123,94,44,33,29,3
5,63,58,123,94,44,33,5,0
6,59,37,123,94,44,33,22,3
7,55,33,123,94,44,33,22,3
1,72,104,112,142,55,40,32,3
2,95,118,112,142,55,40,23,3
3,105,142,112,142,55,40,37,3
4,112,131,112,142,55,40,19,2
5,96,115,112,142,55,40,19,2
6,65,76,112,142,55,40,11,2
7,55,40,112,142,55,40,15,2
1,72,104,142,112,55,40,32,3
2,95,118,142,112,55,40,23,3
3,105,142,142,112,55,40,37,3
4,112,131,142,112,55,40,19,2
5,96,115,142,112,55,40,19,2
6,65,76,142,112,55,40,11,2
7,55,40,142,112,55,40,15,2
1,67,55,131,102,40,35,12,1
2,94,70,131,102,40,35,24,3
3,116,92,131,102,40,35,24,3
4,131,102,131,102,40,35,29,3
5,127,92,131,102,40,35,35,3
6,67,53,131,102,40,35,14,1
7,40,35,131,102,40,35,5,1
1,67,55,102,131,40,35,12,1
2,94,70,102,131,40,35,24,3
3,116,92,102,131,40,35,24,3
4,131,102,102,131,40,35,29,3
5,127,92,102,131,40,35,35,3
6,67,53,102,131,40,35,14,1
7,40,35,102,131,40,35,5,1
1,45,38,135,102,45,38,7,1
2,94,68,135,102,45,38,26,3
3,135,102,135,102,45,38,33,3
4,135,100,135,102,45,38,35,3
5,78,74,135,102,45,38,4,1
6,48,47,135,102,45,38,1,1
7,54,47,135,102,45,38,7,1
1,45,38,102,135,45,38,7,1
2,94,68,102,135,45,38,26,3
3,135,102,102,135,45,38,33,3
4,135,100,102,135,45,38,35,3
5,78,74,102,135,45,38,4,1
6,48,47,102,135,45,38,1,1
7,54,47,102,135,45,38,7,1
1,74,69,135,102,45,47,5,1
2,104,96,135,102,45,47,8,1
3,135,102,135,102,45,47,33,3
4,120,100,135,102,45,47,20,1
5,72,68,135,102,45,47,4,1
6,51,53,135,102,45,47,2,1
7,45,47,135,102,45,47,2,1
1,97,82,133,100,48,47,15,1
2,127,100,133,100,48,47,27,3
3,133,97,133,100,48,47,36,3
4,97,86,133,100,48,47,11,1
5,68,67,133,100,48,47,1,1
6,48,47,133,100,48,47,1,1
7,54,47,133,100,48,47,7,1
