1,64,35,170,141,41,19,29,3
2,121,88,170,141,41,19,33,3
3,170,115,170,141,41,19,55,3
4,170,141,170,141,41,19,29,3
5,118,104,170,141,41,19,14,2
6,69,49,170,141,41,19,20,2
7,41,19,170,141,41,19,22,3
1,60,49,156,149,35,35,11,1
2,144,104,156,149,35,35,40,3
3,156,149,156,149,35,35,7,1
4,156,130,156,149,35,35,26,3
5,100,90,156,149,35,35,10,1
6,60,41,156,149,35,35,19,1
7,35,35,156,149,35,35,0,1
1,79,79,149,156,35,41,0,1
2,149,130,149,156,35,41,19,1
3,138,156,149,156,35,41,18,1
4,137,119,149,156,35,41,18,1
5,90,90,149,156,35,41,0,1
6,60,49,149,156,35,41,11,1
7,35,41,149,156,35,41,6,1
1,69,69,144,156,41,41,0,1
2,110,119,144,156,41,41,9,1
3,144,156,144,156,41,41,12,1
4,138,119,144,156,41,41,19,1
5,100,90,144,156,41,41,10,1
6,60,60,144,156,41,41,0,1
7,41,41,144,156,41,41,0,1
1,69,79,144,156,41,41,10,1
2,110,119,144,156,41,41,9,1
3,144,156,144,156,41,41,12,1
4,138,130,144,156,41,41,8,1
5,90,79,144,156,41,41,11,1
6,49,49,144,156,41,41,0,1
7,41,41,144,156,41,41,0,1
1,60,60,160,156,46,41,0,1
2,100,110,160,156,46,41,10,1
3,156,156,160,156,46,41,0,1
4,160,156,160,156,46,41,4,1
5,110,110,160,156,46,41,0,1
6,67,67,160,156,46,41,0,1
7,46,41,160,156,46,41,5,1
1,79,90,160,180,0,0,11,2
2,160,180,160,180,0,0,20,2
3,156,180,160,180,0,0,24,3
4,160,149,160,180,0,0,11,2
5,79,79,160,180,0,0,0,2
6,0,0,160,180,0,0,0,2
7,16,16,160,180,0,0,0,2
1,35,64,141,170,41,19,29,3
2,88,121,141,170,41,19,33,3
3,115,170,141,170,41,19,55,3
4,141,170,141,170,41,19,29,3
5,104,118,141,170,41,19,14,2
6,49,69,141,170,41,19,20,2
7,19,41,141,170,41,19,22,3
1,94,77,180,180,30,41,17,2
2,144,149,180,180,30,41,5,2
3,180,180,180,180,30,41,0,2
4,163,180,180,180,30,41,17,2
5,96,97,180,180,30,41,1,2
6,47,41,180,180,30,41,6,2
7,30,41,180,180,30,41,11,2
1,90,97,163,180,27,26,7,2
2,126,145,163,180,27,26,19,2
3,163,180,163,180,27,26,17,2
4,163,160,163,180,27,26,3,2
5,97,110,163,180,27,26,13,2
6,27,41,163,180,27,26,14,2
7,27,26,163,180,27,26,1,2
1,119,119,180,180,47,49,0,2
2,180,180,180,180,47,49,0,2
3,180,167,180,180,47,49,13,2
4,163,163,180,180,47,49,0,2
5,119,111,180,180,47,49,8,2
6,60,65,180,180,47,49,5,2
7,47,49,180,180,47,49,2,2
1,41,49,180,180,41,49,8,2
2,90,90,180,180,41,49,0,2
3,163,160,180,180,41,49,3,2
4,180,180,180,180,41,49,0,2
5,144,145,180,180,41,49,1,2
6,60,53,180,180,41,49,7,2
7,47,49,180,180,41,49,2,2
1,41,41,81,90,24,26,0,0
2,67,74,81,90,24,26,7,0
3,81,90,81,90,24,26,9,0
4,79,54,81,90,24,26,25,3
5,47,54,81,90,24,26,7,0
6,24,26,81,90,24,26,2,0
7,27,41,81,90,24,26,14,0
1,60,74,81,90,24,26,14,0
2,81,90,81,90,24,26,9,0
3,67,81,81,90,24,26,14,0
4,47,60,81,90,24,26,13,0
5,27,37,81,90,24,26,10,0
6,24,37,81,90,24,26,13,0
7,24,26,81,90,24,26,2,0
1,27,41,81,90,27,26,14,0
2,27,41,81,90,27,26,14,0
3,47,53,81,90,27,26,6,0
4,81,90,81,90,27,26,9,0
5,81,81,81,90,27,26,0,0
6,41,54,81,90,27,26,13,0
7,27,26,81,90,27,26,1,0
1,47,60,90,98,24,26,13,0
2,74,81,90,98,24,26,7,0
3,90,98,90,98,24,26,8,0
4,74,74,90,98,24,26,0,0
5,41,49,90,98,24,26,8,0
6,24,26,90,98,24,26,2,0
7,24,26,90,98,24,26,2,0
